"job_id","job_title_short","company_name","total_jobs","company_size","salary_month_avg_$"
1145481,"Data Analyst","Racine County","2","Small","5841"
1428838,"Data Analyst","University of Wisconsin–Madison","11","Medium","5842"
236493,"Data Analyst","Howard Hughes Medical Institute","6","Small","5848"
116946,"Data Analyst","Cal Poly, San Luis Obispo","1","Small","5858"
1170512,"Data Analyst","The Intersect Group","55","Large","5875"
228044,"Data Analyst","Deloitte","1700","Large","5883"
641048,"Data Analyst","Sedona Staffing Services","5","Small","5917"
659447,"Data Analyst","NYC DEPARTMENT OF FINANCE","1","Small","5937"
849540,"Data Analyst","ICI Services Corporation","4","Small","5958"
1698696,"Data Analyst","CVS Health","641","Large","5988"
1203355,"Data Analyst","Kupono Government Services, LLC","2","Small","6000"
486099,"Data Analyst","Fluence","13","Medium","6000"
646615,"Data Analyst","Publicis Groupe","689","Large","6000"
203258,"Data Analyst","California Health & Wellness","48","Medium","6021"
428130,"Data Analyst","Holy Family University","3","Small","6042"
1064002,"Data Analyst","LHH","311","Large","6042"
548795,"Data Analyst","NYC Health + Hospitals","21","Medium","6042"
468876,"Data Analyst","Coda Staffing","2","Small","6042"
873458,"Data Analyst","Robert Half","1863","Large","6042"
1118786,"Data Analyst","Career Transitions, LLC","7","Small","6042"
126451,"Data Analyst","HealthComp, LLC","1","Small","6042"
1262610,"Data Analyst","Insight Global","2254","Large","6042"
1074917,"Data Analyst","Begin Hire","1","Small","6042"
472467,"Data Analyst","Basalite Concrete Products","2","Small","6042"
1571809,"Data Analyst","Aditi Consulting","172","Large","6042"
1684855,"Data Analyst","Every Body Texas","2","Small","6042"
1330035,"Data Analyst","Jobot","1105","Large","6042"
243705,"Data Analyst","Every Body Texas","2","Small","6042"
1191449,"Data Analyst","Premier Health Network","1","Small","6042"
172682,"Data Analyst","Peraton","841","Large","6042"
1000196,"Data Analyst","Mindera","73","Large","6075"
313198,"Data Analyst","Publicis Groupe","689","Large","6075"
1097867,"Data Analyst","TransPerfect","76","Large","6075"
268386,"Data Analyst","Metyis","162","Large","6075"
1120896,"Data Analyst","TransPerfect","76","Large","6075"
651669,"Data Analyst","iCapital","14","Medium","6075"
78932,"Data Analyst","Debiopharm","1","Small","6075"
769341,"Data Analyst","Center for Open Science","2","Small","6083"
825825,"Data Analyst","City of Denton, TX","1","Small","6121"
583554,"Data Analyst","Redondo Beach","2","Small","6123"
418386,"Data Analyst","Bay Systems","1","Small","6167"
1338279,"Data Analyst","Retriever Medial Dental Payments LLC","1","Small","6167"
1471797,"Data Analyst","Mike Todd Construction","1","Small","6193"
246128,"Data Analyst","Archer","9","Small","6208"
1526311,"Data Analyst","PerkinElmer, Inc.","6","Small","6208"
1744683,"Data Analyst","Oak Technologies Inc","1","Small","6225"
841690,"Data Analyst","Office of the Chief Financial Officer (OCFO)","2","Small","6233"
764861,"Data Analyst","Chicken of the Sea","4","Small","6250"
493501,"Data Analyst","Xoriant Corporation","13","Medium","6250"
1513802,"Data Analyst","In Technology Group Inc (US)","3","Small","6250"
30596,"Data Analyst","AppleOne","47","Medium","6250"
522031,"Data Analyst","Xoriant Corporation","13","Medium","6250"
1461191,"Data Analyst","Zunch Staffing","2","Small","6250"
1187913,"Data Analyst","Gehr Industries, Inc.","1","Small","6250"
1051584,"Data Analyst","Puyenpa Services LLC","1","Small","6250"
1282776,"Data Analyst","NBCUniversal","196","Large","6250"
1366670,"Data Analyst","NAZTEC Int. Group","2","Small","6250"
14027,"Data Analyst","SmartSource Technical Solutions","1","Small","6250"
519785,"Data Analyst","Venture Personnel","5","Small","6250"
1065749,"Data Analyst","Chicken of the Sea","4","Small","6250"
1390332,"Data Analyst","Motion Recruitment","992","Large","6250"
