"skills","avg_salary"
"azure","155000"
"snowflake","155000"
"gcp","155000"
"aws","113950"
"databricks","113950"
"redshift","111202"
"atlassian","100500"
"tableau","99819"
"r","98500"
"python","96575"
"sql","90641"
"jira","89100"
"hadoop","89100"
"excel","83035"
"git","81000"
"sheets","75757"
"word","72900"
"express","72900"
"hugging face","72900"
"matplotlib","72900"
"nosql","72900"
"numpy","72900"
"pandas","72900"
"plotly","72900"
"powerpoint","72900"
"scala","72900"
"scikit-learn","72900"
"spark","72900"
"sap","70150"
"oracle","56700"
"sql server","49567"
